LANDMARK_NAME,ADDRESS,STOP_ID,LATITUDE,LONGITUDE,LOCATION
101 Street Tower,10235 101 Street NW,1462,53.5434198382586,-113.49384737069499,"(53.5434198382586, -113.493847370695)"
101 Street Tower,10235 101 Street NW,1570,53.546013532969603,-113.49307713698001,"(53.5460135329696, -113.49307713698)"
101 Street Tower,10235 101 Street NW,1608,53.544872896068497,-113.491099261873,"(53.5448728960685, -113.491099261873)"
101 Street Tower,10235 101 Street NW,1655,53.543202907554601,-113.493548227435,"(53.5432029075546, -113.493548227435)"
101 Street Tower,10235 101 Street NW,1691,53.543758280754503,-113.48890996483701,"(53.5437582807545, -113.488909964837)"
101 Street Tower,10235 101 Street NW,1737,53.543045762200201,-113.494636331045,"(53.5430457622002, -113.494636331045)"
101 Street Tower,10235 101 Street NW,1763,53.543347597497302,-113.49164558792,"(53.5433475974973, -113.49164558792)"
101 Street Tower,10235 101 Street NW,1804,53.5444284916342,-113.492251203702,"(53.5444284916342, -113.492251203702)"
101 Street Tower,10235 101 Street NW,1876,53.5443075595011,-113.48917491328299,"(53.5443075595011, -113.489174913283)"
101 Street Tower,10235 101 Street NW,1966,53.543163064857097,-113.49262842402599,"(53.5431630648571, -113.492628424026)"
101 Street Tower,10235 101 Street NW,1128,53.543894987143602,-113.493585226777,"(53.5438949871436, -113.493585226777)"
101 Street Tower,10235 101 Street NW,1064,53.544848605701098,-113.493845412805,"(53.5448486057011, -113.493845412805)"
101 Street Tower,10235 101 Street NW,1364,53.545231483449797,-113.490898826039,"(53.5452314834498, -113.490898826039)"
#1 Field Ambulance Edmonton Garrison,Edmonton Garrison,7404,53.680786285493298,-113.48305992153099,"(53.6807862854933, -113.483059921531)"
#1 General Support Battalion Edmonton Garrison,Edmonton Garrison,7417,53.676711612320702,-113.482110951374,"(53.6767116123207, -113.482110951374)"
7-11 Gas Station Fort Sask,Fort Saskatchewan,7517,53.6879613129435,-113.250931340094,"(53.6879613129435, -113.250931340094)"
7th Street Plaza,10030 107 Street NW,1711,53.539717954519801,-113.504662439444,"(53.5397179545198, -113.504662439444)"
7th Street Plaza,10030 107 Street NW,1769,53.538780953645599,-113.504069977627,"(53.5387809536456, -113.504069977627)"
7th Street Plaza,10030 107 Street NW,1891,53.5409754354867,-113.50452707442599,"(53.5409754354867, -113.504527074426)"
7th Street Plaza,10030 107 Street NW,1035,53.540829477693201,-113.504000779089,"(53.5408294776932, -113.504000779089)"
7th Street Plaza,10030 107 Street NW,1926,53.540921834489602,-113.50460312898301,"(53.5409218344896, -113.504603128983)"
7th Street Plaza,10030 107 Street NW,1959,53.541027538009601,-113.506261329955,"(53.5410275380096, -113.506261329955)"
7th Street Plaza,10030 107 Street NW,1964,53.540392684976197,-113.50485067536,"(53.5403926849762, -113.50485067536)"
7th Street Plaza,10030 107 Street NW,1903,53.541452170956497,-113.50464219509099,"(53.5414521709565, -113.504642195091)"
Abbey Glen Park,10121 Jasper Avenue NW,1620,53.5410246481907,-113.494811260078,"(53.5410246481907, -113.494811260078)"
Abbey Glen Park,10121 Jasper Avenue NW,1591,53.540246785915102,-113.493613680537,"(53.5402467859151, -113.493613680537)"
Abbey Glen Park,10121 Jasper Avenue NW,1322,53.540833836735203,-113.496442788561,"(53.5408338367352, -113.496442788561)"
Abbey Glen Park,10121 Jasper Avenue NW,1251,53.539606585096998,-113.495220359409,"(53.539606585097, -113.495220359409)"
Abbey Glen Park,10121 Jasper Avenue NW,1730,53.541431864173497,-113.495485278435,"(53.5414318641735, -113.495485278435)"
Abbey Glen Park,10121 Jasper Avenue NW,1737,53.543045762200201,-113.494636331045,"(53.5430457622002, -113.494636331045)"
Abbey Glen Park,10121 Jasper Avenue NW,1820,53.542955572964502,-113.49668916451699,"(53.5429555729645, -113.496689164517)"
Abbey Glen Park,10121 Jasper Avenue NW,1863,53.541038501670897,-113.491718509176,"(53.5410385016709, -113.491718509176)"
Abbey Glen Park,10121 Jasper Avenue NW,1868,53.543083718597202,-113.497245845289,"(53.5430837185972, -113.497245845289)"
Abbey Glen Park,10121 Jasper Avenue NW,1142,53.539762523376801,-113.493845739365,"(53.5397625233768, -113.493845739365)"
Abbey Glen Park,10121 Jasper Avenue NW,1935,53.541084519115202,-113.491974416598,"(53.5410845191152, -113.491974416598)"
Abbott Elementary School,12045 34 Street NW,1068,53.575035227989503,-113.39036614981499,"(53.5750352279895, -113.390366149815)"
Abbott Elementary School,12045 34 Street NW,1440,53.575143129146198,-113.39037969563999,"(53.5751431291462, -113.39037969564)"
Abbott Elementary School,12045 34 Street NW,1520,53.575137519252202,-113.392810553956,"(53.5751375192522, -113.392810553956)"
Abbott Elementary School,12045 34 Street NW,1046,53.575048738204899,-113.393023197471,"(53.5750487382049, -113.393023197471)"
Abbottsfield Library Penny McKee Branch,3410 118 Avenue NW,1000,53.571969991048803,-113.390168689597,"(53.5719699910488, -113.390168689597)"
Abbottsfield Library Penny McKee Branch,3410 118 Avenue NW,1580,53.570702273599601,-113.39356852652701,"(53.5707022735996, -113.393568526527)"
Abbottsfield Library Penny McKee Branch,3410 118 Avenue NW,1577,53.569832070247401,-113.39385270634401,"(53.5698320702474, -113.393852706344)"
Abbottsfield Library Penny McKee Branch,3410 118 Avenue NW,1296,53.570463645289898,-113.394356949821,"(53.5704636452899, -113.394356949821)"
Abbottsfield Library Penny McKee Branch,3410 118 Avenue NW,1241,53.571503271595901,-113.393813710077,"(53.5715032715959, -113.393813710077)"
Abbottsfield Library Penny McKee Branch,3410 118 Avenue NW,1003,53.572039872496802,-113.389775164848,"(53.5720398724968, -113.389775164848)"
Abbottsfield Library Penny McKee Branch,3410 118 Avenue NW,1002,53.572095093390899,-113.390031017363,"(53.5720950933909, -113.390031017363)"
Abbottsfield Library Penny McKee Branch,3410 118 Avenue NW,1001,53.571962005908702,-113.390365063766,"(53.5719620059087, -113.390365063766)"
Abbottsfield Park,12000 Abbottsfield Road NW,1548,53.574694527604301,-113.38875558173901,"(53.5746945276043, -113.388755581739)"
Abbottsfield Park,12000 Abbottsfield Road NW,1086,53.573930387112,-113.38869111478699,"(53.573930387112, -113.388691114787)"
Abbottsfield Recreation Centre,3010 119 Avenue NW,1003,53.572039872496802,-113.389775164848,"(53.5720398724968, -113.389775164848)"
Abbottsfield Recreation Centre,3010 119 Avenue NW,1002,53.572095093390899,-113.390031017363,"(53.5720950933909, -113.390031017363)"
Abbottsfield Recreation Centre,3010 119 Avenue NW,1001,53.571962005908702,-113.390365063766,"(53.5719620059087, -113.390365063766)"
Abbottsfield Seniors Stop In Centre,3210 118 Avenue NW,1001,53.571962005908702,-113.390365063766,"(53.5719620059087, -113.390365063766)"
Abbottsfield Seniors Stop In Centre,3210 118 Avenue NW,1000,53.571969991048803,-113.390168689597,"(53.5719699910488, -113.390168689597)"
Abbottsfield Seniors Stop In Centre,3210 118 Avenue NW,1612,53.571850639525898,-113.393204868995,"(53.5718506395259, -113.393204868995)"
Abbottsfield Seniors Stop In Centre,3210 118 Avenue NW,1003,53.572039872496802,-113.389775164848,"(53.5720398724968, -113.389775164848)"
Abbottsfield Seniors Stop In Centre,3210 118 Avenue NW,1002,53.572095093390899,-113.390031017363,"(53.5720950933909, -113.390031017363)"
Abbottsfield Shoppers Mall LTD,3210 118 Avenue NW,1001,53.571962005908702,-113.390365063766,"(53.5719620059087, -113.390365063766)"
Abbottsfield Shoppers Mall LTD,3210 118 Avenue NW,1000,53.571969991048803,-113.390168689597,"(53.5719699910488, -113.390168689597)"
Abbottsfield Shoppers Mall LTD,3210 118 Avenue NW,1612,53.571850639525898,-113.393204868995,"(53.5718506395259, -113.393204868995)"
Abbottsfield Shoppers Mall LTD,3210 118 Avenue NW,1003,53.572039872496802,-113.389775164848,"(53.5720398724968, -113.389775164848)"
Abbottsfield Shoppers Mall LTD,3210 118 Avenue NW,1002,53.572095093390899,-113.390031017363,"(53.5720950933909, -113.390031017363)"
Abbottsfield Transit Centre,Abbottsfield Road 119 Avenue NW,1003,53.572039872496802,-113.389775164848,"(53.5720398724968, -113.389775164848)"
Abbottsfield Transit Centre,Abbottsfield Road 119 Avenue NW,1000,53.571969991048803,-113.390168689597,"(53.5719699910488, -113.390168689597)"
Abbottsfield Transit Centre,Abbottsfield Road 119 Avenue NW,1001,53.571962005908702,-113.390365063766,"(53.5719620059087, -113.390365063766)"
Abbottsfield Transit Centre,Abbottsfield Road 119 Avenue NW,1002,53.572095093390899,-113.390031017363,"(53.5720950933909, -113.390031017363)"
ABC Child Development Centre,11411 40 Avenue NW,4523,53.476308174980304,-113.525796237088,"(53.4763081749803, -113.525796237088)"
ABC Child Development Centre,11411 40 Avenue NW,4229,53.476095384643997,-113.526521619983,"(53.476095384644, -113.526521619983)"
ABC Child Development Centre,11411 40 Avenue NW,4327,53.475776045242903,-113.525305103639,"(53.4757760452429, -113.525305103639)"
A B C Day Care-Montessori Program,13586 Fort Road NW,7433,53.5948386738674,-113.428251456654,"(53.5948386738674, -113.428251456654)"
A B C Day Care-Montessori Program,13586 Fort Road NW,7647,53.599612100820202,-113.424893742203,"(53.5996121008202, -113.424893742203)"
A B C Day Care-Montessori Program,13586 Fort Road NW,7270,53.599391963783901,-113.425833342527,"(53.5993919637839, -113.425833342527)"
ABC Headstart,12050 95A Street NW,1320,53.5703654704147,-113.486732364882,"(53.5703654704147, -113.486732364882)"
ABC Headstart,12050 95A Street NW,1126,53.573856878384703,-113.492079878772,"(53.5738568783847, -113.492079878772)"
ABC Headstart,12050 95A Street NW,1288,53.570432833311301,-113.487773190379,"(53.5704328333113, -113.487773190379)"
ABC Headstart,12050 95A Street NW,1398,53.576329430918797,-113.49241260485,"(53.5763294309188, -113.49241260485)"
ABC Headstart,12050 95A Street NW,1461,53.570445465169897,-113.49073190319,"(53.5704454651699, -113.49073190319)"
ABC Headstart,12050 95A Street NW,1574,53.570116529984901,-113.48735432089001,"(53.5701165299849, -113.48735432089)"
Aberhart Centre One,11402 University Avenue NW,2748,53.5183612329703,-113.525356953447,"(53.5183612329703, -113.525356953447)"
Aberhart Centre One,11402 University Avenue NW,2014,53.520384915746,-113.52581684413001,"(53.520384915746, -113.52581684413)"
Aberhart Centre One,11402 University Avenue NW,2660,53.518793620663502,-113.525623522321,"(53.5187936206635, -113.525623522321)"
A Blair McPherson Jr High,430 Tamarack Green NW,3603,53.470252902896199,-113.36195804253801,"(53.4702529028962, -113.361958042538)"
A Blair McPherson Jr High,430 Tamarack Green NW,3691,53.469226774957399,-113.358283631147,"(53.4692267749574, -113.358283631147)"
A Blair McPherson Jr High,430 Tamarack Green NW,3610,53.470612329770098,-113.363639472534,"(53.4706123297701, -113.363639472534)"
A Blair McPherson Jr High,430 Tamarack Green NW,3608,53.470269551561003,-113.360030013122,"(53.470269551561, -113.360030013122)"
Aboriginal Learning Services,9624 108 Avenue NW,1295,53.553998868296098,-113.49020506711901,"(53.5539988682961, -113.490205067119)"
Aboriginal Learning Services,9624 108 Avenue NW,1284,53.553432650793397,-113.49018169247699,"(53.5534326507934, -113.490181692477)"
Acacia Masonic Hall,10433 83 Avenue NW,2632,53.518435695961301,-113.497401986447,"(53.5184356959613, -113.497401986447)"
Acacia Masonic Hall,10433 83 Avenue NW,2860,53.518021534239701,-113.497210879024,"(53.5180215342397, -113.497210879024)"
Acacia Masonic Hall,10433 83 Avenue NW,2821,53.517673313646299,-113.49774271343,"(53.5176733136463, -113.49774271343)"
Acacia Masonic Hall,10433 83 Avenue NW,2891,53.518169484256902,-113.49820425279501,"(53.5181694842569, -113.498204252795)"
Academy for Mathematics,211 Londonderry Mall NW,7456,53.604415527444999,-113.44303411683001,"(53.604415527445, -113.44303411683)"
Academy for Mathematics,211 Londonderry Mall NW,7356,53.5992742635664,-113.442754296033,"(53.5992742635664, -113.442754296033)"
Academy for Mathematics,211 Londonderry Mall NW,7265,53.598817766081503,-113.4431379637,"(53.5988177660815, -113.4431379637)"
Academy for Mathematics,211 Londonderry Mall NW,7054,53.604734920289502,-113.44215362106,"(53.6047349202895, -113.44215362106)"
Academy for Mathematics,211 Londonderry Mall NW,7572,53.604950231794803,-113.444009140115,"(53.6049502317948, -113.444009140115)"
Academy for Mathematics & Science (Southside),11811 40 Avenue NW,4474,53.476238449062301,-113.537817102123,"(53.4762384490623, -113.537817102123)"
Academy for Mathematics & Science (Southside),11811 40 Avenue NW,4331,53.476816328890003,-113.538533845053,"(53.47681632889, -113.538533845053)"
Academy for Mathematics & Science (Southside),11811 40 Avenue NW,4277,53.476427727061498,-113.535645997782,"(53.4764277270615, -113.535645997782)"
Academy for Mathematics & Science (Southside),11811 40 Avenue NW,4270,53.475891962629603,-113.538845126594,"(53.4758919626296, -113.538845126594)"
Academy for Mathematics & Science (Southside),11811 40 Avenue NW,4078,53.476235453558999,-113.53472926832799,"(53.476235453559, -113.534729268328)"
Academy for Mathematics & Science (Southside),11811 40 Avenue NW,4528,53.476739943171999,-113.535055134437,"(53.476739943172, -113.535055134437)"
Academy for Mathematics & Science (Southside),11811 40 Avenue NW,4371,53.475922653279902,-113.535169506899,"(53.4759226532799, -113.535169506899)"
"Academy of King Edward, The ",8525 101 Street NW,2853,53.518169312695299,-113.49178117213199,"(53.5181693126953, -113.491781172132)"
"Academy of King Edward, The ",8525 101 Street NW,2679,53.521316863038798,-113.48604372273699,"(53.5213168630388, -113.486043722737)"
"Academy of King Edward, The ",8525 101 Street NW,2681,53.517968166212199,-113.49096938938,"(53.5179681662122, -113.49096938938)"
"Academy of King Edward, The ",8525 101 Street NW,2878,53.520751419439001,-113.48620135228499,"(53.520751419439, -113.486201352285)"
Academy of Learning - Downtown,Edmonton City Centre East NW,1950,53.543281618462899,-113.49092222239101,"(53.5432816184629, -113.490922222391)"
Academy of Learning - Downtown,Edmonton City Centre East NW,1966,53.543163064857097,-113.49262842402599,"(53.5431630648571, -113.492628424026)"
Academy of Learning - Downtown,Edmonton City Centre East NW,1128,53.543894987143602,-113.493585226777,"(53.5438949871436, -113.493585226777)"
Academy of Learning - Downtown,Edmonton City Centre East NW,1246,53.543891415669101,-113.49062825652901,"(53.5438914156691, -113.490628256529)"
Academy of Learning - Downtown,Edmonton City Centre East NW,1292,53.543730639285997,-113.49085648787501,"(53.543730639286, -113.490856487875)"
Academy of Learning - Downtown,Edmonton City Centre East NW,1462,53.5434198382586,-113.49384737069499,"(53.5434198382586, -113.493847370695)"
Academy of Learning - Downtown,Edmonton City Centre East NW,1655,53.543202907554601,-113.493548227435,"(53.5432029075546, -113.493548227435)"
Academy of Learning - Downtown,Edmonton City Centre East NW,1691,53.543758280754503,-113.48890996483701,"(53.5437582807545, -113.488909964837)"
Academy of Learning - Downtown,Edmonton City Centre East NW,1763,53.543347597497302,-113.49164558792,"(53.5433475974973, -113.49164558792)"
Academy of Learning - Downtown,Edmonton City Centre East NW,1804,53.5444284916342,-113.492251203702,"(53.5444284916342, -113.492251203702)"
Academy of Learning - Downtown,Edmonton City Centre East NW,1876,53.5443075595011,-113.48917491328299,"(53.5443075595011, -113.489174913283)"
Academy of Learning - Southside,6325 Gateway Boulevard NW,2732,53.499377838651299,-113.49777811214901,"(53.4993778386513, -113.497778112149)"
Academy of Learning - Southside,6325 Gateway Boulevard NW,2794,53.499742583464297,-113.49264962084401,"(53.4997425834643, -113.492649620844)"
Academy of Learning - Southside,6325 Gateway Boulevard NW,2898,53.499985782660602,-113.494907398489,"(53.4999857826606, -113.494907398489)"
Academy of Learning - Westend,1434 West Edmonton Mall NW,5000,53.5204596254408,-113.62248378089301,"(53.5204596254408, -113.622483780893)"
Academy of Learning - Westend,1434 West Edmonton Mall NW,5005,53.520359972620497,-113.622228334661,"(53.5203599726205, -113.622228334661)"
Academy of Learning - Westend,1434 West Edmonton Mall NW,5004,53.520387882261602,-113.622529653801,"(53.5203878822616, -113.622529653801)"
Academy of Learning - Westend,1434 West Edmonton Mall NW,5003,53.5204607198893,-113.622830574292,"(53.5204607198893, -113.622830574292)"
Academy of Learning - Westend,1434 West Edmonton Mall NW,5002,53.5205065995127,-113.623131735057,"(53.5205065995127, -113.623131735057)"
Academy of Learning - Westend,1434 West Edmonton Mall NW,5001,53.520225329297098,-113.622274767381,"(53.5202253292971, -113.622274767381)"
Academy of Learning - Westend,1434 West Edmonton Mall NW,5013,53.5205843781117,-113.622150946137,"(53.5205843781117, -113.622150946137)"
Academy of Learning - Westend,1434 West Edmonton Mall NW,5012,53.5206302594462,-113.622452107035,"(53.5206302594462, -113.622452107035)"
Academy of Learning - Westend,1434 West Edmonton Mall NW,5011,53.520685173343402,-113.622768266816,"(53.5206851733434, -113.622768266816)"
Academy of Learning - Westend,1434 West Edmonton Mall NW,5010,53.520722495094603,-113.62320521147301,"(53.5207224950946, -113.623205211473)"
Academy of Learning - Westend,1434 West Edmonton Mall NW,5009,53.520532796117998,-113.622890247811,"(53.520532796118, -113.622890247811)"
Academy of Learning - Westend,1434 West Edmonton Mall NW,5008,53.520495949227801,-113.62260408525,"(53.5204959492278, -113.62260408525)"
Academy of Learning - Westend,1434 West Edmonton Mall NW,5007,53.5204501635314,-113.62233308107599,"(53.5204501635314, -113.622333081076)"
Academy of Learning - Westend,1434 West Edmonton Mall NW,5006,53.520404377221404,-113.62206207749,"(53.5204043772214, -113.62206207749)"
Academy Place Condominium Association,10011 116 Street NW,1960,53.541031994318701,-113.522855623661,"(53.5410319943187, -113.522855623661)"
Academy Place Condominium Association,10011 116 Street NW,1141,53.540841972159399,-113.522525875076,"(53.5408419721594, -113.522525875076)"
Academy Place Condominium Association,10011 116 Street NW,1621,53.539246334330898,-113.521246507803,"(53.5392463343309, -113.521246507803)"
Academy Place Condominium Association,10011 116 Street NW,1827,53.539058361200297,-113.521429649228,"(53.5390583612003, -113.521429649228)"
Acadia House Association,10832 82 Ave NW,2788,53.518162864398398,-113.509603034889,"(53.5181628643984, -113.509603034889)"
Access Medical Centre,13718 113A Street NW,6389,53.600522040407597,-113.516882937361,"(53.6005220404076, -113.516882937361)"
Access Medical Centre,13718 113A Street NW,6278,53.598913452162201,-113.516855971761,"(53.5989134521622, -113.516855971761)"
Access Medical Centre,13718 113A Street NW,6169,53.599413283207802,-113.516019407668,"(53.5994132832078, -113.516019407668)"
Access Medical Centre,13718 113A Street NW,6681,53.599689557103602,-113.51767798221699,"(53.5996895571036, -113.517677982217)"
Access Medical Centre,13718 113A Street NW,6357,53.600367944724297,-113.51655234381199,"(53.6003679447243, -113.516552343812)"
