AB_SCHOOL_NUMBER,SCHOOL_NAME,STREET,POSTAL_CODE,WARD,PHONE_NUMBER,FAX_NUMBER,EMAIL,WEBSITE,GRADE_LEVEL,GRADES_OFFERED,PROGRAMS,LATITUDE,LONGITUDE,LOCATION
8049,Anne Fitzgerald,699 CLAREVIEW RD NW,T5A 4G3,73,7804759619,7804768430,8049web@ecsd.net,http://www.annefitzgerald.ecsd.net,Elementary,Kindergarten to Grade 6,"100 Voices Program (EL), Full Day Kindergarten (K)",53.5944903,-113.3837889,"(53.5944903, -113.3837889)"
8001,Annunciation,9325 165 ST NW,T5R 2S5,74,7804844319,7804843072,8001web@ecsd.net,http://www.annunciation.ecsd.net,Elementary,Kindergarten to Grade 6,"International Baccalaureate Programme (K-6), Full Day Kindergarten (K)",53.5302343,-113.6065415,"(53.5302343, -113.6065415)"
8026,Archbishop Joseph MacNeil,750 LEGER WAY NW,T6R 3H4,76,7804714218,7804711731,8026web@ecsd.net,http://www.archbishopjosephmacneil.ecsd.net,"Elementary, Junior",Kindergarten to Grade 8,"Pre-Advanced Placement (7-8), Spanish Language and Culture (7-8)",53.4600272,-113.5770168,"(53.4600272, -113.5770168)"
8403,Archbishop MacDonald,14219 109 AVE NW,T5N 1H5,71,7804511470,7804555571,8403web@ecsd.net,http://www.archbishopmacdonald.ecsd.net,Senior,Grade 10 to Grade 12,"Spanish Language and Culture (10-12), International Baccalaureate Programme (10-12), French Immersion (10-12)",53.554163,-113.566291,"(53.554163, -113.566291)"
8404,Archbishop O'Leary,8760 132 AVE NW,T5E 0X8,72,7804766251,7804722579,8404web@ecsd.net,http://www.archbishopoleary.ecsd.net,Senior,Grade 10 to Grade 12,"Italian Language and Culture (10-12), Spanish Language and Culture (10-12), Sports Academies - Soccer, Hockey (10-12), Advanced Placement (10-12)",53.5928729,-113.4751525,"(53.5928729, -113.4751525)"
8428,Archbishop Oscar Romero,17760 69 AVE NW,T5T 6X3,74,7804282705,7804892873,8428web@ecsd.net,http://www.archbishoposcarromero.ecsd.net,Senior,Grade 10 to Grade 12,"Filipino Language and Culture (10-12), Spanish Language and Culture (10-12), Advanced Placement (10-12)",53.5041389,-113.6299034,"(53.5041389, -113.6299034)"
8402,Austin O'Brien,6110 95 AVE NW,T6B 1A5,75,7804663161,7804666994,8402web@ecsd.net,http://www.austinobrien.ecsd.net,Senior,Grade 10 to Grade 12,"Polish Bilingual (10-12), Spanish Language and Culture (10-12), Ukrainian Bilingual (10-12), Advanced Placement (10-12), Spanish Bilingual (10-12), International Languages Program (10-12)",53.5354056,-113.4264182,"(53.5354056, -113.4264182)"
8214,Ben Calf Robe - St. Clare,11833 64 ST NW,T5W 4J2,73,7804712360,7804713104,8214web@ecsd.net,http://www.bencalfrobe.ecsd.net,"Elementary, Junior",Kindergarten to Grade 9,"Nehiyaw Pimatisiwin Cree Language and Culture (K-9), Full Day Kindergarten (K), FNMI Education (K-9), 100 Voices (EL)",53.571454,-113.4391147,"(53.571454, -113.4391147)"
8059,Bishop Greschuk,17330 91 ST NW,T5Z 3A1,72,7804722937,7804722946,8059web@ecsd.net,http://www.bishopgreschuk.ecsd.net,Elementary,Kindergarten to Grade 6,,53.6350632,-113.4805934,"(53.6350632, -113.4805934)"
8048,Bishop Savaryn,16215 109 ST NW,T5X 2R2,72,7804567837,7804562354,8048web@ecsd.net,http://www.bishopsavaryn.ecsd.net,Elementary,Kindergarten to Grade 6,"French Immersion (K-6), 100 voices (EL)",53.6220012,-113.508386,"(53.6220012, -113.508386)"
