STATION_NAME,ADDRESS,DISTRICT,FIRE_RESCUE_EMS_COMBINED,LATITUDE,LONGITUDE,LOCATION
01,10351-96 Street NW,1,no,53.5478851565401,-113.483426298671,"(53.5478851565401, -113.483426298671)"
02,10217-107 Street NW,,no,53.5435502937474,-113.504144762948,"(53.5435502937474, -113.504144762948)"
03,11226-76 Avenue NW,,no,53.5125765452718,-113.522060553811,"(53.5125765452718, -113.522060553811)"
04,10949-156 Street NW,4,no,53.5556485903992,-113.589842739327,"(53.5556485903992, -113.589842739327)"
05,9020-111 Avenue NW,,no,53.5612957560263,-113.480493384097,"(53.5612957560263, -113.480493384097)"
06,8105-96 Street NW,,no,53.517404822655,-113.476266141025,"(53.517404822655, -113.476266141025)"
07,5025-118 Avenue NW,,no,53.570043266341,-113.419296365015,"(53.570043266341, -113.419296365015)"
08,12503-128 Street NW,,no,53.5812393159621,-113.542352238077,"(53.5812393159621, -113.542352238077)"
09,5604-50 Street NW,2,no,53.4943966352163,-113.419549187886,"(53.4943966352163, -113.419549187886)"
10,12735-101 Street NW,,no,53.5854969442493,-113.492996605648,"(53.5854969442493, -113.492996605648)"
11,6110 - 98 AVE NW,,no,53.5384169143699,-113.428631160125,"(53.5384169143699, -113.428631160125)"
12,9020-156 Street NW,,no,53.5238136436654,-113.590805644647,"(53.5238136436654, -113.590805644647)"
13,4035-119 Street NW,,no,53.4779358128846,-113.538045180146,"(53.4779358128846, -113.538045180146)"
14,7312-144 Avenue,,no,53.6067541501321,-113.453579848283,"(53.6067541501321, -113.453579848283)"
15,5120-97 Street NW,,no,53.4894576327765,-113.480466654416,"(53.4894576327765, -113.480466654416)"
16,2904-66 Street NW,,no,53.4596711481508,-113.435042898331,"(53.4596711481508, -113.435042898331)"
17,15505 Castle Downs Road NW,,no,53.6176222575777,-113.5167951933,"(53.6176222575777, -113.5167951933)"
18,13808 Victoria Trail NW,,no,53.6013456559842,-113.386948116985,"(53.6013456559842, -113.386948116985)"
19,6210-178 Street NW,,no,53.4966535135389,-113.63038127752,"(53.4966535135389, -113.63038127752)"
20,2303-105 Street NW,,no,53.454396685433,-113.500915128424,"(53.454396685433, -113.500915128424)"
21,,,,53.5288151147038,-113.492018883408,"(53.5288151147038, -113.492018883408)"
22,10124-123 Street NW,,no,53.5421627281501,-113.53457932585,"(53.5421627281501, -113.53457932585)"
23,10130-178 Street NW,,no,53.5430531751741,-113.627962309848,"(53.5430531751741, -113.627962309848)"
24,131 Haddow Close NW,3,yes,53.4592055025307,-113.590966372923,"(53.4592055025307, -113.590966372923)"
25,8403-167 AVE,5,no,53.6282169670862,-113.470231072865,"(53.6282169670862, -113.470231072865)"
26,2803-34 St NW,,yes,53.4580863775513,-113.392734394021,"(53.4580863775513, -113.392734394021)"
27,1203 ELLWOOD ROAD SW,,,53.4287497963644,-113.475681510662,"(53.4287497963644, -113.475681510662)"
28,12110 26 AVENUE SW,3,no,53.4108041879557,-113.538581049768,"(53.4108041879557, -113.538581049768)"
