NAME,LATITUDE,LONGITUDE,LOCATION
Ellerslie Crossing,53.4289592925418,-113.458381816139,"(53.4289592925418, -113.458381816139)"
Westglen Playground,53.5550113156224,-113.543874217932,"(53.5550113156224, -113.543874217932)"
Pleasantview Sch,53.4951567051601,-113.503456882164,"(53.4951567051601, -113.503456882164)"
Delton School,53.5753902966249,-113.478436973309,"(53.5753902966249, -113.478436973309)"
Rio Terrace Sch,53.5087032714054,-113.587092792845,"(53.5087032714054, -113.587092792845)"
Russ Barnes Arena/ Santa Rosa Park,53.5740404424801,-113.446529613044,"(53.5740404424801, -113.446529613044)"
Rutherford Park,53.420086864183,-113.53548206506,"(53.420086864183, -113.53548206506)"
Eastwood Community League,53.5708972708012,-113.472036891822,"(53.5708972708012, -113.472036891822)"
Rundle Hts Sch,53.5620191923578,-113.392462675614,"(53.5620191923578, -113.392462675614)"
Bishop Savaryn School,53.621807954237,-113.507066022,"(53.621807954237, -113.507066022)"
Steinhauer School,53.464668357735,-113.504646268682,"(53.464668357735, -113.504646268682)"
Pollard Meadows School,53.4480052386755,-113.412261336816,"(53.4480052386755, -113.412261336816)"
Hamptons,53.4928555445661,-113.679655832821,"(53.4928555445661, -113.679655832821)"
Klarvatten,53.633188943469,-113.475764179121,"(53.633188943469, -113.475764179121)"
Canora Park/Holy Cross School,53.5474881535643,-113.581861774607,"(53.5474881535643, -113.581861774607)"
"W.C. ""Tubby"" Bateman Park",53.5233445786689,-113.480067238569,"(53.5233445786689, -113.480067238569)"
Homesteader School,53.5870809361903,-113.412396828766,"(53.5870809361903, -113.412396828766)"
Westglen,53.554390854168,-113.541965869242,"(53.554390854168, -113.541965869242)"
McLeod Meadows,53.6150556493487,-113.441379615107,"(53.6150556493487, -113.441379615107)"
Ambleside Stage Nine,53.430093053198,-113.608887947193,"(53.430093053198, -113.608887947193)"
Brander Gardens Park,53.4936774735395,-113.575688254001,"(53.4936774735395, -113.575688254001)"
Ken Newman Playground,53.5537956185421,-113.580946204397,"(53.5537956185421, -113.580946204397)"
Canon Ridge,53.5808368022683,-113.378456547884,"(53.5808368022683, -113.378456547884)"
Suder Greens,53.5208604709069,-113.684694779739,"(53.5208604709069, -113.684694779739)"
Windsor Park School,53.5235004347935,-113.535765467195,"(53.5235004347935, -113.535765467195)"
Prince Charles Playground,53.5746703119848,-113.537029939857,"(53.5746703119848, -113.537029939857)"
Borden Park,53.561856662503,-113.453582019893,"(53.561856662503, -113.453582019893)"
Riverdale Park,53.541383236911,-113.473237191137,"(53.541383236911, -113.473237191137)"
Meadowlark Playground,53.5252809447256,-113.59702449564,"(53.5252809447256, -113.59702449564)"
Zoie Gardner Park,53.5854475613389,-113.450595392168,"(53.5854475613389, -113.450595392168)"
Kirkness School/Park,53.6118771701067,-113.385387541249,"(53.6118771701067, -113.385387541249)"
Central McDougall,53.554782955279,-113.5036788014,"(53.554782955279, -113.5036788014)"
Garneau School East,53.5222432784721,-113.512977295331,"(53.5222432784721, -113.512977295331)"
