NAME,ADDRESS,LATITUDE,LONGITUDE,LOCATION
EPS Calder,12540-132 Ave,53.5930613258816,-113.538539348097,"(53.5930613258816, -113.538539348097)"
EPS HQ,9620-103A AVE NW,53.5476259884475,-113.484968682447,"(53.5476259884475, -113.484968682447)"
EPS McDougall,10620-107 Ave,53.551657108852,-113.504239569005,"(53.551657108852, -113.504239569005)"
EPS Namao,9641-167 Ave,53.6282641202661,-113.490413475679,"(53.6282641202661, -113.490413475679)"
EPS NORTH DIV,14203-50 ST NW,53.6049955532902,-113.41687122394,"(53.6049955532902, -113.41687122394)"
EPS Old Strathcona,7903-104 St,53.5154774571824,-113.495394805677,"(53.5154774571824, -113.495394805677)"
EPS Ottewell,9807 71 St,53.5378088149442,-113.436232841657,"(53.5378088149442, -113.436232841657)"
EPS SOUTHEAST DIV,104-YOUVILLE DR E,53.4601204903163,-113.426599756934,"(53.4601204903163, -113.426599756934)"
EPS Summerlea,1059 8882-170 St,53.5233166255728,-113.619182420348,"(53.5233166255728, -113.619182420348)"
EPS WEST DIV,16505-100 AV NW,53.5386760224092,-113.606889776567,"(53.5386760224092, -113.606889776567)"
Southwest Division Station Windermere,1351 WINDERMERE WAY,53.4248602410788,-113.612660267247,"(53.4248602410788, -113.612660267247)"
