BRANCH_ID,BRANCH,ADDRESS,POSTAL_CODE,PHONE_NUMBER,FREE_WIFI,MONDAY_OPEN,MONDAY_CLOSE,TUESDAY_OPEN,TUESDAY_CLOSE,WEDNESDAY_OPEN,WEDNESDAY_CLOSE,THURSDAY_OPEN,THURSDAY_CLOSE,FRIDAY_OPEN,FRIDAY_CLOSE,SATURDAY_OPEN,SATURDAY_CLOSE,SUNDAY_OPEN,SUNDAY_CLOSE,LATITUDE,LONGITUDE,LOCATION
EPLABB,Abbottsfield - Penny McKee Branch,3210 118 Avenue,T5W 4W1, 780-496-7839,Yes,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,18:00,10:00,18:00,13:00,17:00,53.5704509,-113.3915179,"3210 118 Avenue
(53.5704509, -113.3915179)"
EPLCAL,Calder Branch,12522 132 Avenue,T5L 3P9, 780-496-7090,Yes,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,18:00,10:00,18:00,13:00,17:00,53.5922064,-113.5385101,"12522 132 Avenue
(53.5922064, -113.5385101)"
EPLCLV,Clareview Branch,3808 - 139 Avenue, T5Y 3E7, 780-442-7471,Yes,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,18:00,10:00,18:00,13:00,17:00,53.601302,-113.401769,"3808 - 139 Avenue
(53.601302, -113.401769)"
EPLCPL,Capilano Branch,5004 98 Avenue,T6A 0A1, 780-496-1802,Yes,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,18:00,9:30,17:30,13:00,17:00,53.5378963,-113.4199269,"5004 98 Avenue
(53.5378963, -113.4199269)"
EPLCSD,Castle Downs Branch,15379 Castle Downs Road,T5X 3Y7, 780-496-1804,Yes,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,18:00,10:00,18:00,13:00,17:00,53.6157356,-113.5166333,"15379 Castle Downs Road
(53.6157356, -113.5166333)"
EPLGMU,MacEwan University Lending Machine,10700 - 104 Avenue, T5J 4S2,,No,7:30,22:30,7:30,22:30,7:30,22:30,7:30,22:30,7:30,22:30,10:00,17:00,10:00,21:00,53.546693,-113.504871,"10700 - 104 Avenue
(53.546693, -113.504871)"
EPLHIG,Highlands Branch,6710 118 Avenue,T5B 0P3, 780-496-1818,Yes,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,18:00,10:00,18:00,13:00,17:00,53.5703902,-113.4446929,"6710 118 Avenue
(53.5703902, -113.4446929)"
EPLIDY,Idylwylde Branch,8310 88 Avenue,T6C 1L1, 780-496-1808,Yes,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,18:00,10:00,18:00,13:00,17:00,53.5235044,-113.4593749,"8310 88 Avenue
(53.5235044, -113.4593749)"
EPLJPL,Jasper Place Branch,9010 156 Street,T5R 5X7, 780-496-1810,Yes,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,18:00,10:00,18:00,13:00,17:00,53.5232259,-113.5903997,"9010 156 Street
(53.5232259, -113.5903997)"
EPLLHL,Lois Hole Library,17650 69 Avenue,T5T 3X9, 780-442-0888,Yes,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,18:00,10:00,18:00,13:00,17:00,53.5037705,-113.6260742,"17650 69 Avenue
(53.5037705, -113.6260742)"
