beds,pages,pages-href,properties links,properties links-href,price,bedrooms,bathrooms,square footage,year,parking spaces,address,subdivision,postal code,type,condo fee,floor,Page id,Page id-href
,Link 10,https://www.edmontonrealestate.pro/idx/search.html?refine=true&sortorder=DESC-ListingPrice&map%5Blongitude%5D=0&map%5Blatitude%5D=0&map%5Bzoom%5D=0&map%5Bpolygon%5D=&map%5Bradius%5D=&search_city%5B%5D=Edmonton&search_subdivision=&search_zip=&search_mls=&search_address=&search_condoname=&idx=ereb&minimum_price=68000&maximum_price=70000&minimum_bedrooms=&minimum_bathrooms=&minimum_bathrooms_half=&minimum_bathrooms_full=&minimum_sqft=&maximum_sqft=&minimum_year=&maximum_year=&school_elementary=&school_middle=&school_high=,,https://www.edmontonrealestate.pro/listing/e3417945-109-3720-118-av-edmonton-alberta/,"$69,000",<strong>Bedrooms</strong><span>1,1,<strong>Square Footage</strong><span>581,<strong>Year Built</strong><span>1969,null,# 109 3720 118 Av,BEACON HEIGHTS,T5W 0Z6,<strong>Type</strong><span>Condo / Townhouse,<strong>Condo Fee</strong><span>$320,null,,
,Link 100,https://www.edmontonrealestate.pro/idx/search.html?refine=true&sortorder=DESC-ListingPrice&map%5Blongitude%5D=0&map%5Blatitude%5D=0&map%5Bzoom%5D=0&map%5Bpolygon%5D=&map%5Bradius%5D=&search_city%5B%5D=Edmonton&search_subdivision=&search_zip=&search_mls=&search_address=&search_condoname=&idx=ereb&minimum_price=248000&maximum_price=250000&minimum_bedrooms=&minimum_bathrooms=&minimum_bathrooms_half=&minimum_bathrooms_full=&minimum_sqft=&maximum_sqft=&minimum_year=&maximum_year=&school_elementary=&school_middle=&school_high=,,https://www.edmontonrealestate.pro/listing/e3432223-703-9808-103-st-edmonton-alberta/,"$249,990",<strong>Bedrooms</strong><span>2,2,"<strong>Square Footage</strong><span>1,166",<strong>Year Built</strong><span>1975,<strong>Parking Spaces</strong><span>1,# 703 9808 103 St,DOWNTOWN,T5K 2G4,<strong>Type</strong><span>Condo / Townhouse,<strong>Condo Fee</strong><span>$639,null,,
,Link 100,https://www.edmontonrealestate.pro/idx/search.html?refine=true&sortorder=DESC-ListingPrice&map%5Blongitude%5D=0&map%5Blatitude%5D=0&map%5Bzoom%5D=0&map%5Bpolygon%5D=&map%5Bradius%5D=&search_city%5B%5D=Edmonton&search_subdivision=&search_zip=&search_mls=&search_address=&search_condoname=&idx=ereb&minimum_price=248000&maximum_price=250000&minimum_bedrooms=&minimum_bathrooms=&minimum_bathrooms_half=&minimum_bathrooms_full=&minimum_sqft=&maximum_sqft=&minimum_year=&maximum_year=&school_elementary=&school_middle=&school_high=,,https://www.edmontonrealestate.pro/listing/e3399786-11437-123-st-edmonton-alberta/,"$249,900",null,0,null,null,null,11437 123 St,INGLEWOOD,T5M 0G3,<strong>Type</strong><span>Single Family,null,null,,
,Link 100,https://www.edmontonrealestate.pro/idx/search.html?refine=true&sortorder=DESC-ListingPrice&map%5Blongitude%5D=0&map%5Blatitude%5D=0&map%5Bzoom%5D=0&map%5Bpolygon%5D=&map%5Bradius%5D=&search_city%5B%5D=Edmonton&search_subdivision=&search_zip=&search_mls=&search_address=&search_condoname=&idx=ereb&minimum_price=248000&maximum_price=250000&minimum_bedrooms=&minimum_bathrooms=&minimum_bathrooms_half=&minimum_bathrooms_full=&minimum_sqft=&maximum_sqft=&minimum_year=&maximum_year=&school_elementary=&school_middle=&school_high=,,https://www.edmontonrealestate.pro/listing/e3400164-11439-123-st-edmonton-alberta/,"$249,900",null,0,null,null,null,11439 123 St,Inglewood,T5M 0G3,<strong>Type</strong><span>Single Family,null,null,,
,Link 100,https://www.edmontonrealestate.pro/idx/search.html?refine=true&sortorder=DESC-ListingPrice&map%5Blongitude%5D=0&map%5Blatitude%5D=0&map%5Bzoom%5D=0&map%5Bpolygon%5D=&map%5Bradius%5D=&search_city%5B%5D=Edmonton&search_subdivision=&search_zip=&search_mls=&search_address=&search_condoname=&idx=ereb&minimum_price=248000&maximum_price=250000&minimum_bedrooms=&minimum_bathrooms=&minimum_bathrooms_half=&minimum_bathrooms_full=&minimum_sqft=&maximum_sqft=&minimum_year=&maximum_year=&school_elementary=&school_middle=&school_high=,,https://www.edmontonrealestate.pro/listing/e3428195-1318-330-clareview-station-dr-edmonton-alberta/,"$249,999",<strong>Bedrooms</strong><span>2,2,"<strong>Square Footage</strong><span>1,173",<strong>Year Built</strong><span>2008,<strong>Parking Spaces</strong><span>1,# 1318 330 Clareview Station Dr,Clareview Town Centre,T5Y 0E6,<strong>Type</strong><span>Condo / Townhouse,null,null,,
,Link 101,https://www.edmontonrealestate.pro/idx/search.html?refine=true&sortorder=DESC-ListingPrice&map%5Blongitude%5D=0&map%5Blatitude%5D=0&map%5Bzoom%5D=0&map%5Bpolygon%5D=&map%5Bradius%5D=&search_city%5B%5D=Edmonton&search_subdivision=&search_zip=&search_mls=&search_address=&search_condoname=&idx=ereb&minimum_price=250000&maximum_price=252000&minimum_bedrooms=&minimum_bathrooms=&minimum_bathrooms_half=&minimum_bathrooms_full=&minimum_sqft=&maximum_sqft=&minimum_year=&maximum_year=&school_elementary=&school_middle=&school_high=,,https://www.edmontonrealestate.pro/listing/e3429877-12111-134b-av-edmonton-alberta/,"$250,000",<strong>Bedrooms</strong><span>3,2,"<strong>Square Footage</strong><span>1,144",<strong>Year Built</strong><span>1961,<strong>Parking Spaces</strong><span>2,12111 134b Av,KENSINGTON,T5L 4M6,<strong>Type</strong><span>Single Family,null,null,,
,Link 101,https://www.edmontonrealestate.pro/idx/search.html?refine=true&sortorder=DESC-ListingPrice&map%5Blongitude%5D=0&map%5Blatitude%5D=0&map%5Bzoom%5D=0&map%5Bpolygon%5D=&map%5Bradius%5D=&search_city%5B%5D=Edmonton&search_subdivision=&search_zip=&search_mls=&search_address=&search_condoname=&idx=ereb&minimum_price=250000&maximum_price=252000&minimum_bedrooms=&minimum_bathrooms=&minimum_bathrooms_half=&minimum_bathrooms_full=&minimum_sqft=&maximum_sqft=&minimum_year=&maximum_year=&school_elementary=&school_middle=&school_high=,,https://www.edmontonrealestate.pro/listing/e3430453-119-13835-155-av-edmonton-alberta/,"$251,999",<strong>Bedrooms</strong><span>2,2,<strong>Square Footage</strong><span>939,<strong>Year Built</strong><span>2009,<strong>Parking Spaces</strong><span>2,# 119 13835 155 Av,CARLTON,T6V 0B7,<strong>Type</strong><span>Condo / Townhouse,<strong>Condo Fee</strong><span>$252,null,,
,Link 101,https://www.edmontonrealestate.pro/idx/search.html?refine=true&sortorder=DESC-ListingPrice&map%5Blongitude%5D=0&map%5Blatitude%5D=0&map%5Bzoom%5D=0&map%5Bpolygon%5D=&map%5Bradius%5D=&search_city%5B%5D=Edmonton&search_subdivision=&search_zip=&search_mls=&search_address=&search_condoname=&idx=ereb&minimum_price=250000&maximum_price=252000&minimum_bedrooms=&minimum_bathrooms=&minimum_bathrooms_half=&minimum_bathrooms_full=&minimum_sqft=&maximum_sqft=&minimum_year=&maximum_year=&school_elementary=&school_middle=&school_high=,,https://www.edmontonrealestate.pro/listing/e3436572-11833-61-st-nw-edmonton-alberta/,"$250,000",<strong>Bedrooms</strong><span>3,1,<strong>Square Footage</strong><span>964,<strong>Year Built</strong><span>1950,<strong>Parking Spaces</strong><span>4,11833 61 St Nw,MONTROSE,T5W 4A8,<strong>Type</strong><span>Single Family,null,null,,
,Link 101,https://www.edmontonrealestate.pro/idx/search.html?refine=true&sortorder=DESC-ListingPrice&map%5Blongitude%5D=0&map%5Blatitude%5D=0&map%5Bzoom%5D=0&map%5Bpolygon%5D=&map%5Bradius%5D=&search_city%5B%5D=Edmonton&search_subdivision=&search_zip=&search_mls=&search_address=&search_condoname=&idx=ereb&minimum_price=250000&maximum_price=252000&minimum_bedrooms=&minimum_bathrooms=&minimum_bathrooms_half=&minimum_bathrooms_full=&minimum_sqft=&maximum_sqft=&minimum_year=&maximum_year=&school_elementary=&school_middle=&school_high=,,https://www.edmontonrealestate.pro/listing/e3435576-12102-65-st-edmonton-alberta/,"$250,000",<strong>Bedrooms</strong><span>3,2,<strong>Square Footage</strong><span>801,<strong>Year Built</strong><span>1949,null,12102 65 St,MONTROSE,T5W 4L8,<strong>Type</strong><span>Single Family,null,null,,
,Link 101,https://www.edmontonrealestate.pro/idx/search.html?refine=true&sortorder=DESC-ListingPrice&map%5Blongitude%5D=0&map%5Blatitude%5D=0&map%5Bzoom%5D=0&map%5Bpolygon%5D=&map%5Bradius%5D=&search_city%5B%5D=Edmonton&search_subdivision=&search_zip=&search_mls=&search_address=&search_condoname=&idx=ereb&minimum_price=250000&maximum_price=252000&minimum_bedrooms=&minimum_bathrooms=&minimum_bathrooms_half=&minimum_bathrooms_full=&minimum_sqft=&maximum_sqft=&minimum_year=&maximum_year=&school_elementary=&school_middle=&school_high=,,https://www.edmontonrealestate.pro/listing/e3435512-11020-38-st-edmonton-alberta/,"$250,000",<strong>Bedrooms</strong><span>2,1,<strong>Square Footage</strong><span>814,<strong>Year Built</strong><span>1945,null,11020 38 St,BEVERLY HEIGHTS,T5W 2E8,<strong>Type</strong><span>Single Family,null,null,,
