Address_unsanitized,Address,Acres,Latitude,Longitude,Bathrooms,Bedrooms,Beds Above Grade,Condo Fee,Construction – Wood Frame,Construction – Concrete,Construction – Concrete Block,Construction – Insulated Concrete,Construction – Modular,Construction – Prefab,Construction – Steel Frame,Ensuite,Exposure – North,Exposure – Northwest,Exposure – West,Exposure – Southwest,Exposure – South,Exposure – Southeast,Exposure – East,Exposure – Northeast,Fireplace,Foundation – Concrete,Foundation – Block,Foundation – Brick/Stone/Block,Foundation – Concrete Slab,Foundation – Grade Beam,Foundation – Piling,Foundation – Preserved Wood,Foundation – Other or NaN,Full Baths,HOA Fees,HOA Fees Freq.,Half Baths,Has Basement,Has Pool,Heating – Forced Air-1,Heating – Forced Air-2,Heating – Baseboard,Heating – Fan Coil,Heating – Gravity,Heating – Heat Pump,Heating – Hot Water,Heating – In Floor Heat System,Heating – Other and NaN,Is Waterfront,Parking Spaces,Roof – Asphalt Shingles,Roof – Cedar Shakes,Roof – Clay Tile,Roof – Concrete Tiles,Roof – EPDM Membrane,Roof – Fiberglass,Roof – Metal,Roof – Pine Shakes,Roof – Roll Roofing,Roof – Tar & Gravel,Roof – Vinyl Shingles,Roof – Wood Shingles,Roof – Other or NaN,Square Footage,Style - 1 and Half Storey,Style - 2 and Half Storey,Style - 2 Storey,Style - 2 Storey Split,Style - 3 Level Split,Style - 3 Storey,Style - 4 Level Split,Style - 5 Level Split,Style - Back Split,Style – Bi-Level,Style – Bungalow,Style - Bungalow Semi,Style - Hillside Bungalow,Style – Loft,Style - Modular Home,Style - Multi Level Apartment,Style – NaN,Style - Not Applicable,Style – Penthouse,Style - Raised Bungalow,Style - Single Level Apartment,Style - Studio Suite,Sub-Type – 4Plex,Sub-Type - Apartment High Rise,Sub-Type – Carriage,Sub-Type - Detached Condominium,Sub-Type - Duplex Side By Side,Sub-Type - Duplex Up And Down,Sub-Type - Half Duplex,Sub-Type - Lowrise Apartment,Sub-Type - Residential Attached,Sub-Type - Residential Detached Single Family,Sub-Type - Single Wide,Sub-Type - Stacked Townhouse,Sub-Type – Townhouse,Sub-Type – Tri-Plex,Sub-Type - Vacant Lot,Type – Condo/Townhouse,Type – Single Family,Year Built,Price
205 12838 65 st ,12838 65 St NW,0.01,53.587156,-113.441575,2,2,2,334,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2004,"175,000"
15015 58 st ,15015 58 St NW,0.15,53.6128605,-113.4302384,4,5,4,NaN,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,NaN,NaN,1,1,0,0,1,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,2966,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1980,"825,000"
2217 134 av ,2217 134 Ave NW,0.16,53.59559,-113.378457,4,3,3,NaN,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,NaN,NaN,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2113,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2015,"649,000"
139 clareview rd ,139 Clareview Rd NW,0.37,53.5864154,-113.3797528,3,4,3,NaN,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,NaN,NaN,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1776,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1977,"549,900"
12608 45 st ,12608 45 St NW,0,53.5562175,-113.4125421,3,3,3,NaN,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,1,1,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1759,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2015,"499,900"
15235 52 st ,15235 52 St NW,0.13,53.6149841,-113.4218005,4,6,4,NaN,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,NaN,NaN,1,1,0,1,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,2335,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1991,"499,900"
8915 210 st ,8915 210 St NW,0.11,53.5238878,-113.6833667,4,4,3,NaN,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,NaN,NaN,1,1,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2178,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2003,"495,000"
6415 152b av ,6415 152b Ave NW,0.12,53.6144199,-113.4406284,3,3,3,NaN,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,NaN,NaN,1,1,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1694,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1987,"459,000"
224 hyndman cr ,224 Hyndman Crescent NW,0.28,53.5760811,-113.3781148,3,3,3,NaN,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,1,1,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1758,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2004,"449,900"
4708 131 av ,4708 131 Ave NW,0.18,53.5920639,-113.4139499,4,8,7,NaN,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,NaN,NaN,2,1,0,0,1,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,2271,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1976,"439,000"
