PA_ASSESSED_VALUE,PA_LATITUDE,PA_LONGITUDE,Acres,Bathrooms,Bedrooms,Beds Above Grade,Condo Fee,Construction – Wood Frame,Construction – Concrete,Construction – Insulated Concrete,Ensuite,Exposure – North,Exposure – Northwest,Exposure – West,Exposure – Southwest,Exposure – South,Exposure – Southeast,Exposure – East,Exposure – Northeast,Fireplace,Foundation – Concrete,Foundation – Block,Foundation – Brick/Stone/Block,Foundation – Concrete Slab,Foundation – Grade Beam,Foundation – Preserved Wood,Foundation – Other,Full Baths,Half Baths,Has Basement,Has Pool,Heating – Forced Air-1,Heating – Forced Air-2,Heating – Baseboard,Heating – Fan Coil,Heating – Gravity,Heating – Hot Water,Heating – In Floor Heat System,Heating – Other,Is Waterfront,Parking Spaces,Roof – Asphalt Shingles,Roof – Cedar Shakes,Roof – Clay Tile,Roof – Concrete Tiles,Roof – EPDM Membrane,Roof – Fiberglass,Roof – Metal,Roof – Pine Shakes,Roof – Roll Roofing,Roof – Tar & Gravel,Roof – Vinyl Shingles,Roof – Wood Shingles,Roof – Other,Square Footage,Style - 1 and Half Storey,Style - 2 and Half Storey,Style - 2 Storey,Style - 2 Storey Split,Style - 3 Level Split,Style - 3 Storey,Style - 4 Level Split,Style - 5 Level Split,Style - Back Split,Style – Bi-Level,Style – Bungalow,Style - Bungalow Semi,Style - Hillside Bungalow,Style - Raised Bungalow,Style - Single Level Apartment,Type – Condo/Townhouse,Type – Single Family,Year Built,Police_Station,Catholic_School,Public_School,Bus_Stop,Playground,Public_Library,Recreation_Centre,Fire_Station,Price
475500,53.61282363,-113.4300466,0.15,4,5,4,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,2966,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1980,2076,1617,352,227,455,1930,1480,2097,825000
268000,53.59555643,-113.3784654,0.16,4,3,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2113,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,3887,1088,1127,754,1067,2485,2569,1608,649000
571500,53.58621794,-113.3798036,0.37,3,4,3,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1776,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1977,4704,1265,1641,515,1077,3081,3386,2450,549900
376895.8472,53.5562175,-113.4125421,0,3,3,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1759,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,3336,1507,1271,182,915,2558,1774,4003,499900
460500,53.6149846,-113.4215877,0.13,4,6,4,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,2335,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1991,1449,1605,1021,198,694,2686,2149,3074,499900
516500,53.52390226,-113.683178,0.11,4,4,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2178,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2003,5309,4810,2201,1078,427,1585,5763,6569,495000
390000,53.61430023,-113.4406635,0.12,3,3,3,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1694,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1987,2919,1608,972,606,768,1511,1062,1678,459000
460000,53.57581069,-113.3777932,0.28,3,3,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1758,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2004,5520,2613,1287,703,663,2115,3898,3705,449900
382000,53.59217022,-113.4139359,0.18,4,8,7,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,2,1,0,0,1,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,2271,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1976,1881,1563,586,198,619,1869,1953,2735,439000
376500,53.59050876,-113.3947214,0.08,4,4,3,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1650,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2002,4463,1117,331,326,319,3061,3145,2209,438800
